,name,house,species,blood_status,da,oof,de,first_name,last_name
44,Quirinus Quirrell,Ravenclaw,Human,Half-blood,,,Death Eaters,Quirinus,Quirrell
45,Gringotts Head Goblin,,Goblin,,,,,Gringotts,Head Goblin
46,Griphook,,Goblin,,,,,Griphook,
47,Draco Malfoy,Slytherin,Human,Pure-blood,,,Death Eaters,Draco,Malfoy
48,Lucius Malfoy,Slytherin,Human,Pure-blood,,,Death Eaters,Lucius,Malfoy
49,Narcissa Malfoy,Slytherin,Human,Pure-blood,,,Death Eaters,Narcissa,Malfoy
50,Vindictus Viridian,,Human,,,,,Vindictus,Viridian
51,Hedwig,,Animal,,,,,Hedwig,
52,Garrick Ollivander,Ravenclaw,Human,Half-blood,,,,Garrick,Ollivander
53,Ginny Weasley,Gryffindor,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Ginny,Weasley
54,Molly Weasley,Gryffindor,Human,Pure-blood,,Order of the Phoenix,,Molly,Weasley
55,Percy Weasley,Gryffindor,Human,Pure-blood,,,,Percy,Weasley
56,Fred Weasley,Gryffindor,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Fred,Weasley
57,George Weasley,Gryffindor,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,George,Weasley
58,Ron Weasley,Gryffindor,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Ron,Weasley
59,Neville Longbottom,Gryffindor,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Neville,Longbottom
60,Augusta Longbottom,,Human,Pure-blood,,Order of the Phoenix,,Augusta,Longbottom
61,Lee Jordan,Gryffindor,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Lee,Jordan
62,Bill Weasley,Gryffindor,Human,Pure-blood,,Order of the Phoenix,,Bill,Weasley
63,Charlie Weasley,Gryffindor,Human,Pure-blood,,Order of the Phoenix,,Charlie,Weasley
64,Arthur Weasley,Gryffindor,Human,Pure-blood,,Order of the Phoenix,,Arthur,Weasley
65,Peter Pettigrew,Gryffindor,Human,Pure-blood,,Order of the Phoenix,Death Eaters,Peter,Pettigrew
66,Trolley witch,,Human,,,,,Trolley,witch
67,Cornelius Agrippa,,Human,,,,,Cornelius,Agrippa
68,Claudius Ptolemy,,Human,,,,,Claudius,Ptolemy
69,Gellert Grindelwald,,Human,Pure-blood,,,,Gellert,Grindelwald
70,Nicolas Flamel,,Human,,,,,Nicolas,Flamel
71,Morgan le Fay,,Human,,,,,Morgan,le Fay
72,Hengist of Woodcroft,Hufflepuff,Human,,,,,Hengist,of Woodcroft
73,Alberic Grunnion,,Human,,,,,Alberic,Grunnion
74,Circe,,Human,,,,,Circe,
75,Paracelsus,,Human,,,,,Paracelsus,
76,Cliodna,,Human,,,,,Cliodna,
77,Bertie Bott,,Human,,,,,Bertie,Bott
78,Trevor,,Animal,,,,,Trevor,
79,Hermione Granger,Gryffindor,Human,Muggle-born,Dumbledore's Army,Order of the Phoenix,,Hermione,Granger
80,Vincent Crabbe,Slytherin,Human,Pure-blood,,,Death Eaters,Vincent,Crabbe
81,Gregory Goyle,Slytherin,Human,Pure-blood,,,Death Eaters,Gregory,Goyle
82,Hermes,,Animal,,,,,Hermes,
83,Fat Friar,Hufflepuff,Human,,,,,Fat,Friar
84,Sorting Hat,,Magical object,,,,,Sorting,Hat
85,Hannah Abbott,Hufflepuff,Human,Half-blood,Dumbledore's Army,,,Hannah,Abbott
86,Susan Bones,Hufflepuff,Human,Half-blood,Dumbledore's Army,,,Susan,Bones
87,Terry Boot,Ravenclaw,Human,Pure-blood,Dumbledore's Army,,,Terry,Boot
88,Mandy Brocklehurst,Ravenclaw,Human,Half-blood,,,,Mandy,Brocklehurst
89,Lavender Brown,Gryffindor,Human,Pure-blood,Dumbledore's Army,,,Lavender,Brown
90,Millicent Bulstrode,Slytherin,Human,Half-blood,,,,Millicent,Bulstrode
91,Justin Finch-Fletchley,Hufflepuff,Human,Muggle-born,Dumbledore's Army,,,Justin,Finch-Fletchley
92,Seamus Finnigan,Gryffindor,Human,Half-blood,Dumbledore's Army,,,Seamus,Finnigan
93,Morag MacDougal,Ravenclaw,Human,Pure-blood,,,,Morag,MacDougal
94,Lily Moon,Gryffindor,Human,,,,,Lily,Moon
95,Theodore Nott,Slytherin,Human,Pure-blood,,,Death Eaters,Theodore,Nott
96,Pansy Parkinson,Slytherin,Human,Pure-blood,,,Death Eaters,Pansy,Parkinson
97,Padma Patil,Ravenclaw,Human,Pure-blood,Dumbledore's Army,,,Padma,Patil
98,Parvati Patil,Gryffindor,Human,Pure-blood,Dumbledore's Army,,,Parvati,Patil
99,Sally-Anne Perks,Gryffindor,Human,,,,,Sally-Anne,Perks
100,Dean Thomas,Gryffindor,Human,Half-blood,Dumbledore's Army,,,Dean,Thomas
101,Lisa Turpin,Ravenclaw,Human,,,,,Lisa,Turpin
102,Blaise Zabini,Slytherin,Human,Pure-blood,,,,Blaise,Zabini
103,Nearly-Headless Nick,Gryffindor,Human,,,,,Nearly-Headless,Nick
104,Bloody Baron,Slytherin,Human,Pure-blood,,,,Bloody,Baron
105,Mr Finnigan,,Human,Muggle,,,,Mr,Finnigan
106,Mrs Finnigan,Gryffindor,Human,,,,,Mrs,Finnigan
107,Algie,,Human,,,,,Algie,
108,Severus Snape,Slytherin,Human,Half-blood,,Order of the Phoenix,Death Eaters,Severus,Snape
109,Argus Filch,,Human,Squib,,,,Argus,Filch
110,Rolanda Hooch,,Human,,,,,Rolanda,Hooch
111,Fat Lady,Gryffindor,Human,,,,,Fat,Lady
112,Mrs Norris,,Animal,,,,,Mrs,Norris
113,Pomona Sprout,Hufflepuff,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Pomona,Sprout
114,Cuthbert Binns,,Human,,,,,Cuthbert,Binns
115,Emeric the Evil,,Human,,,,,Emeric,the Evil
116,Uric the Oddball,Ravenclaw,Human,,,,,Uric,the Oddball
117,Filius Flitwick,Ravenclaw,Human,Half-breed,Dumbledore's Army,Order of the Phoenix,,Filius,Flitwick
118,Fang,,Animal,,,,,Fang,
119,Oliver Wood,Gryffindor,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Oliver,Wood
120,Helena Ravenclaw,Ravenclaw,Human,Pure-blood,,,,Helena,
121,Draco Malfoy's eagle owl,,Animal,,,,,Draco,Malfoy's eagle owl
122,Gregory the Smarmy,,Human,,,,,Gregory,the Smarmy
123,Fluffy,,Magical creature,,,,,Fluffy,
124,Baruffio,,Human,,,,,Baruffio,
125,Angelina Johnson,Gryffindor,Human,,Dumbledore's Army,,,Angelina,Johnson
126,Marcus Flint,Slytherin,Human,Pure-blood,,,,Marcus,Flint
127,Alicia Spinnet,Gryffindor,Human,Pure-blood,Dumbledore's Army,,,Alicia,Spinnet
128,Katie Bell,Gryffindor,Human,Pure-blood,Dumbledore's Army,,,Katie,Bell
129,Miles Bletchley,Slytherin,Human,,,,,Miles,Bletchley
130,Adrian Pucey,Slytherin,Human,,,,,Adrian,Pucey
131,Terence Higgs,Slytherin,Human,,,,,Terence,Higgs
132,Irma Pince,,Human,,,,,Irma,Pince
133,Perenelle Flamel,,Human,,,,,Perenelle,Flamel
134,Norbert,,Magical creature,,,,,Norbert,
135,Ronan,,Centaur,,,,,Ronan,
136,Bane,,Centaur,,,,,Bane,
137,Firenze,,Centaur,,Dumbledore's Army,Order of the Phoenix,,Firenze,
138,Elfric the Eager,,Goblin,,,,,Elfric,the Eager
139,Hogwarts Giant Squid,,Magical creature,,,,,Hogwarts,Giant Squid
140,Mr Mason,,Human,Muggle,,,,Mr,Mason
141,Mrs Mason,,Human,Muggle,,,,Mrs,Mason
142,Dobby,,House-elf,,Dumbledore's Army,Order of the Phoenix,,Dobby,
143,Mafalda Hopkirk,,Human,Pure-blood,,,Death Eaters,Mafalda,Hopkirk
144,Errol,,Animal,,,,,Errol,
145,Perkins,,Human,,,,,Perkins,
146,Celestina Warbeck,Gryffindor,Human,Half-blood,,,,Celestina,Warbeck
147,Gilderoy Lockhart,Ravenclaw,Human,Half-blood,,,,Gilderoy,Lockhart
148,Mundungus Fletcher,,Human,Half-blood,,Order of the Phoenix,,Mundungus,Fletcher
149,Mortlake,,Human,,,,,Mortlake,
150,Weasley family ghoul,,Magical creature,,,,,Weasley,family ghoul
151,Martin Miggs,,Human,Muggle,,,,Martin,Miggs
152,Mr Borgin,,Human,Pure-blood,,,,Mr,Borgin
153,Mr Granger,,Human,Muggle,,,,Mr,Granger
154,Mrs Granger,,Human,Muggle,,,,Mrs,Granger
155,Bozo,,Human,,,,,Bozo,
156,Hetty Bayliss,,Human,Muggle,,,,Hetty,Bayliss
157,Angus Fleet,,Human,Muggle,,,,Angus,Fleet
158,Colin Creevey,Gryffindor,Human,Muggle-born,Dumbledore's Army,,,Colin,Creevey
159,Mr Creevey,,Human,Muggle,,,,Mr,Creevey
160,Ogden,,Human,,,,,Ogden,
161,Gladys Gudgeon,,Human,,,,,Gladys,Gudgeon
162,Veronica Smethley,,Human,,,,,Veronica,Smethley
163,Sir Patrick Delaney-Podmore,,Human,,,,,Sir,Patrick Delaney-Podmore
164,Z. Nettles,,Human,,,,,Z.,Nettles
165,D.J. Prod,,Human,,,,,D.J.,Prod
166,Portly ghost,,Human,,,,,Portly,ghost
167,Myrtle Warren,Ravenclaw,Human,Muggle-born,,,,Myrtle,Warren
168,Wailing Widow,,Human,,,,,Wailing,Widow
169,Mrs Skower,,Human,,,,,Mrs,Skower
170,Godric Gryffindor,Gryffindor,Human,Pure-blood,,,,Godric,
171,Helga Hufflepuff,Hufflepuff,Human,Pure-blood,,,,Helga,
172,Rowena Ravenclaw,Ravenclaw,Human,Pure-blood,,,,Rowena,
173,Salazar Slytherin,Slytherin,Human,Pure-blood,,,,Salazar,
174,Wagga Wagga Werewolf,,Human,,,,,Wagga,Wagga Werewolf
175,Ernie Macmillan,Hufflepuff,Human,Pure-blood,Dumbledore's Army,,,Ernie,Macmillan
176,S. Fawcett,Ravenclaw,Human,,,,,S.,Fawcett
177,Aurora Sinistra,,Human,,,,,Aurora,Sinistra
178,Fawkes,,Magical creature,,,Order of the Phoenix,,Fawkes,
179,Penelope Clearwater,Ravenclaw,Human,Muggle-born,,,,Penelope,Clearwater
180,Millicent Bulstrode's cat,,Animal,,,,,Millicent,Bulstrode's cat
181,Armando Dippet,,Human,,,,,Armando,Dippet
182,Aragog,,Magical creature,,,,,Aragog,
183,Mosag,,Magical creature,,,,,Mosag,
184,Olive Hornby,,Human,,,,,Olive,Hornby
185,Merope Riddle,,Human,Pure-blood,,,,Merope,Riddle
186,Serpent of Slytherin,,Magical creature,,,,,Serpent,of Slytherin
187,Wendelin the Weird,,Human,,,,,Wendelin,the Weird
188,Fleetwood,,Human,,,,,Fleetwood,
189,Ripper,,Animal,,,,,Ripper,
190,Fubster,,Human,Muggle,,,,Fubster,
191,Stan Shunpike,,Human,Pure-blood,,,Death Eaters,Stan,Shunpike
192,Ernie Prang,Gryffindor,Human,,,,,Ernie,Prang
193,Marsh,,Human,,,,,Marsh,
194,Florean Fortescue,,Human,,,,,Florean,Fortescue
195,Cassandra Vablatsky,,Human,,,,,Cassandra,Vablatsky
196,Crookshanks,,Magical creature,,,,,Crookshanks,
197,Remus Lupin,Gryffindor,Human,Half-blood,,Order of the Phoenix,,Remus,Lupin
198,Silvanus Kettleburn,Hufflepuff,Human,Pure-blood,,,,Silvanus,Kettleburn
199,Dementor,,Magical creature,,,,,Dementor,
200,Cadogan,Gryffindor,Human,Pure-blood,,,,Cadogan,
201,Sybill Trelawney,Ravenclaw,Human,Half-blood,Dumbledore's Army,Order of the Phoenix,,Sybill,Trelawney
202,Bilius,,Human,Pure-blood,,,,Bilius,
203,Buckbeak,,Magical creature,,Dumbledore's Army,Order of the Phoenix,,Buckbeak,
204,Boggart,,Magical creature,,,,,Boggart,
205,Binky,,Animal,,,,,Binky,
206,Grindylow,,Magical creature,,,,,Grindylow,
207,Cedric Diggory,Hufflepuff,Human,Pure-blood,,,Death Eaters,Cedric,Diggory
208,Hinkypunk,,Magical creature,,,,,Hinkypunk,
209,Davey Gudgeon,,Human,,,,,Davey,Gudgeon
210,Ambrosius Flume,,Human,,,,,Ambrosius,Flume
211,Rosmerta,,Human,,,,,Rosmerta,
212,Derek,,Human,,,,,Derek,
213,Septima Vector,,Human,,,,,Septima,Vector
214,Cho Chang,Ravenclaw,Human,Pure-blood,Dumbledore's Army,,,Cho,Chang
215,Roger Davies,Ravenclaw,Human,,,,,Roger,Davies
216,Cassius Warrington,Slytherin,Human,,,,,Cassius,Warrington
217,Graham Montague,Slytherin,Human,,,,,Graham,Montague
218,Peregrine Derrick,Slytherin,Human,,,,,Peregrine,Derrick
219,Lucian Bole,Slytherin,Human,,,,,Lucian,Bole
220,Walden Macnair,,Human,Pure-blood,,,Death Eaters,Walden,Macnair
221,Lyall Lupin,,Human,Pure-blood,,,,Lyall,Lupin
222,Hope Lupin,,Human,Muggle,,,,Hope,Lupin
223,Pigwidgeon,,Animal,,,,,Pigwidgeon,
224,Mary Riddle,,Human,Muggle,,,,Mary,Riddle
225,Thomas Riddle,,Human,Muggle,,,,Thomas,Riddle
226,Frank Bryce,,Human,Muggle,,,,Frank,Bryce
227,Dot,,Human,Muggle,,,,Dot,
228,Nagini,,Magical creature,,,,,Nagini,
229,Bertha Jorkins,,Human,,,,,Bertha,Jorkins
230,Barty Crouch Snr,,Human,Pure-blood,,,,Barty,Crouch Snr
231,Ludo Bagman,,Human,Pure-blood,,,,Ludo,Bagman
232,Otto Bagman,,Human,Pure-blood,,,,Otto,Bagman
233,Viktor Krum,,Human,Pure-blood,,,,Viktor,Krum
234,Amos Diggory,,Human,Pure-blood,,,,Amos,Diggory
235,Basil,,Human,Pure-blood,,,,Basil,
236,Mr Roberts,,Human,Muggle,,,,Mr,Roberts
237,Mr Payne,,Human,Muggle,,,,Mr,Payne
238,Kevin,,Human,,,,,Kevin,
239,Archie Aymslowe,,Human,,,,,Archie,Aymslowe
240,Mr Wood,,Human,,,,,Mr,Wood
241,Mrs Wood,,Human,,,,,Mrs,Wood
242,Cuthbert Mockridge,,Human,,,,,Cuthbert,Mockridge
243,Gilbert Wimple,,Human,,,,,Gilbert,Wimple
244,Arnold Peasegood,,Human,,,,,Arnold,Peasegood
245,Broderick Bode,,Human,,,,,Broderick,Bode
246,Saul Croaker,,Human,,,,,Saul,Croaker
247,Roddy Pontner,,Human,,,,,Roddy,Pontner
248,Agatha Timms,,Human,,,,,Agatha,Timms
249,Ali Bashir,,Human,,,,,Ali,Bashir
250,Winky,,House-elf,,,,,Winky,
251,Mungo Bonham,,Human,,,,,Mungo,Bonham
252,Vasily Dimitrov,,Human,,,,,Vasily,Dimitrov
253,Clara Ivanova,,Human,,,,,Clara,Ivanova
254,Lev Zograf,,Human,,,,,Lev,Zograf
255,Alexei Levski,,Human,,,,,Alexei,Levski
256,Pyotr Vulchanov,,Human,,,,,Pyotr,Vulchanov
257,Ivan Volkov,,Human,,,,,Ivan,Volkov
258,Connolly,,Human,,,,,Connolly,
259,Barry Ryan,,Human,,,,,Barry,Ryan
260,Troy,,Human,,,,,Troy,
261,Mullet,,Human,,,,,Mullet,
262,Moran,,Human,,,,,Moran,
263,Quigley,,Human,,,,,Quigley,
264,Aidan Lynch,,Human,,,,,Aidan,Lynch
265,Hassan Mostafa,,Human,,,,,Hassan,Mostafa
266,Mrs Roberts,,Human,Muggle,,,,Mrs,Roberts
267,Olympe Maxime,,Human,Half-breed,,Order of the Phoenix,,Olympe,Maxime
268,Rita Skeeter,,Human,Pure-blood,,Order of the Phoenix,,Rita,Skeeter
269,Alastor Moody,,Human,Pure-blood,,Order of the Phoenix,,Alastor,Moody
270,Dennis Creevey,Gryffindor,Human,Muggle-born,Dumbledore's Army,,,Dennis,Creevey
271,Stewart Ackerley,Ravenclaw,Human,,,,,Stewart,Ackerley
272,Malcolm Baddock,Slytherin,Human,,,,,Malcolm,Baddock
273,Eleanor Branstone,Hufflepuff,Human,,,,,Eleanor,Branstone
274,Owen Cauldwell,Hufflepuff,Human,,,,,Owen,Cauldwell
275,Emma Dobbs,,Human,,,,,Emma,Dobbs
276,Laura Madley,Hufflepuff,Human,,,,,Laura,Madley
277,Natalie McDonald,Gryffindor,Human,,,,,Natalie,McDonald
278,Graham Pritchard,Slytherin,Human,,,,,Graham,Pritchard
279,Orla Quirke,Ravenclaw,Human,,,,,Orla,Quirke
280,Kevin Whitby,Hufflepuff,Human,,,,,Kevin,Whitby
281,Barty Crouch Jr,,Human,Pure-blood,,,Death Eaters,Barty,Crouch Jr
282,Eloise Midgeon,Gryffindor,Human,,,,,Eloise,Midgeon
283,Igor Karkaroff,,Human,Pure-blood,,,Death Eaters,Igor,Karkaroff
284,Poliakoff,,Human,Pure-blood,,,,Poliakoff,
285,Summers,Hufflepuff,Human,,,,,Summers,
286,Fleur Delacour,,Human,Half-breed,,Order of the Phoenix,,Fleur,Delacour
287,Violet,,Human,,,,,Violet,
288,Mykew Gregorovitch,,Human,,,,,Mykew,Gregorovitch
289,Winky's mother,,House-elf,,,,,Winky's,mother
290,Winky's grandmother,,House-elf,,,,,Winky's,grandmother
291,Joey Jenkins,,Human,,,,,Joey,Jenkins
292,Stebbins,Hufflepuff,Human,,,,,Stebbins,
293,Fridwulfa,,Giant,,,,,Fridwulfa,
294,Wilhelmina Grubbly-Plank,,Human,,,,,Wilhelmina,Grubbly-Plank
295,Aberforth Dumbledore,,Human,Half-blood,,Order of the Phoenix,,Aberforth,Dumbledore
296,Gabrielle Delacour,,Human,Half-breed,,,,Gabrielle,Delacour
297,Murcus,,Magical creature,,,,,Murcus,
298,Mrs Crouch,,Human,Pure-blood,,,,Mrs,Crouch
299,Evan Rosier,Slytherin,Human,Pure-blood,,,Death Eaters,Evan,Rosier
300,Wilkes,Slytherin,Human,,,,Death Eaters,Wilkes,
301,Bellatrix Lestrange,Slytherin,Human,Pure-blood,,,Death Eaters,Bellatrix,Lestrange
302,Rodolphus Lestrange,Slytherin,Human,Pure-blood,,,Death Eaters,Rodolphus,Lestrange
303,Avery,Slytherin,Human,Pure-blood,,,Death Eaters,Avery,
304,Mrs Fudge,,Human,,,,,Mrs,Fudge
305,Antonin Dolohov,,Human,Pure-blood,,,Death Eaters,Antonin,Dolohov
306,Travers,,Human,Pure-blood,,,Death Eaters,Travers,
307,Mulciber,Slytherin,Human,Pure-blood,,,Death Eaters,Mulciber,
308,Augustus Rookwood,,Human,Pure-blood,,,Death Eaters,Augustus,Rookwood
309,Rabastan Lestrange,Slytherin,Human,Pure-blood,,,Death Eaters,Rabastan,Lestrange
310,Frank Longbottom,,Human,Pure-blood,,Order of the Phoenix,,Frank,Longbottom
311,Alice Longbottom,,Human,Pure-blood,,Order of the Phoenix,,Alice,Longbottom
312,Florence,,Human,,,,,Florence,
313,Florence's boyfriend,,Human,,,,,Florence's,boyfriend
314,Apolline Delacour,,Human,Half-breed,,,,Apolline,Delacour
315,Mrs Diggory,,Human,Pure-blood,,,,Mrs,Diggory
316,Mr Krum,,Human,,,,,Mr,Krum
317,Mrs Krum,,Human,,,,,Mrs,Krum
318,Apollyon Pringle,,Human,Squib,,,,Apollyon,Pringle
319,Ogg,,Human,,,,,Ogg,
320,Bodrod the Bearded,,Goblin,,,,,Bodrod,the Bearded
321,Urg the Unclean,,Goblin,,,,,Urg,the Unclean
322,Crabbe,Slytherin,Human,Pure-blood,,,Death Eaters,Crabbe,
323,Goyle,Slytherin,Human,Pure-blood,,,Death Eaters,Goyle,
324,Nott,,Human,Pure-blood,,,Death Eaters,Nott,
325,Mary Dorkins,,Human,Muggle,,,,Mary,Dorkins
326,Mrs Number Seven,,Human,Muggle,,,,Mrs,Number Seven
327,Mark Evans,,Human,Muggle,,,,Mark,Evans
328,Mr Prentice,,Human,Muggle,,,,Mr,Prentice
329,Nymphadora Tonks,Hufflepuff,Human,Half-blood,,Order of the Phoenix,,Nymphadora,Tonks
330,Kingsley Shacklebolt,,Human,Pure-blood,,Order of the Phoenix,,Kingsley,Shacklebolt
331,Elphias Doge,,Human,Pure-blood,,Order of the Phoenix,,Elphias,Doge
332,Emmeline Vance,,Human,,,Order of the Phoenix,,Emmeline,Vance
333,Sturgis Podmore,,Human,,,Order of the Phoenix,,Sturgis,Podmore
334,Hestia Jones,,Human,Pure-blood,,Order of the Phoenix,,Hestia,Jones
335,Edward Tonks,,Human,Muggle-born,,Order of the Phoenix,,Edward,Tonks
336,Andromeda Tonks,Slytherin,Human,Pure-blood,,Order of the Phoenix,,Andromeda,Tonks
337,Kreacher,,House-elf,,,,,Kreacher,
338,Walburga Black,Slytherin,Human,Pure-blood,,,Death Eaters,Walburga,Black
339,Phineas Nigellus Black,Slytherin,Human,Pure-blood,,,,Phineas,Nigellus Black
340,Kreacher's mother,,House-elf,,,,,Kreacher's,mother
341,Ragnok,,Goblin,,,,,Ragnok,
342,Will,,Human,,,,,Will,
343,Warty Harris,,Human,,,,,Warty,Harris
344,Millicent Bagnold,Ravenclaw,Human,,,,,Millicent,Bagnold
345,Fleamont Potter,Gryffindor,Human,Pure-blood,,,,Fleamont,Potter
346,Euphemia Potter,,Human,Pure-blood,,,,Euphemia,Potter
347,Alphard Black,Slytherin,Human,Pure-blood,,,,Alphard,Black
348,Orion Black,Slytherin,Human,Pure-blood,,,Death Eaters,Orion,Black
349,Regulus Black,Slytherin,Human,Pure-blood,,,Death Eaters,Regulus,Black
350,Araminta Meliflua,Slytherin,Human,Pure-blood,,,,Araminta,Meliflua
351,Elladora Black,Slytherin,Human,Pure-blood,,,,Elladora,Black
352,Arcturus Black III,Slytherin,Human,Pure-blood,,,,Arcturus,Black III
353,Rufus Scrimgeour,,Human,,,,,Rufus,Scrimgeour
354,Amelia Bones,,Human,Pure-blood,,Order of the Phoenix,,Amelia,Bones
355,Eric Munch,,Human,,,,,Eric,Munch
356,Bob,,Human,,,,,Bob,
357,Dolores Umbridge,Slytherin,Human,Half-blood,,,Death Eaters,Dolores,Umbridge
358,Wilbert Slinkhard,,Human,,,,,Wilbert,Slinkhard
359,Marlene McKinnon,,Human,,,Order of the Phoenix,,Marlene,McKinnon
360,Benjy Fenwick,,Human,,,Order of the Phoenix,,Benjy,Fenwick
361,Edgar Bones,,Human,Pure-blood,,Order of the Phoenix,,Edgar,Bones
362,Caradoc Dearborn,,Human,,,Order of the Phoenix,,Caradoc,Dearborn
363,Gideon Prewett,,Human,Pure-blood,,Order of the Phoenix,,Gideon,Prewett
364,Fabian Prewett,,Human,Pure-blood,,Order of the Phoenix,,Fabian,Prewett
365,Dorcas Meadowes,,Human,,,Order of the Phoenix,,Dorcas,Meadowes
366,Luna Lovegood,Ravenclaw,Human,Pure-blood,Dumbledore's Army,Order of the Phoenix,,Luna,Lovegood
367,Anthony Goldstein,Ravenclaw,Human,Half-blood,Dumbledore's Army,,,Anthony,Goldstein
368,Doris Purkiss,,Human,,,,,Doris,Purkiss
369,Stubby Boardman,,Human,,,,,Stubby,Boardman
370,Xenophilius Lovegood,Ravenclaw,Human,Pure-blood,,Order of the Phoenix,,Xenophilius,Lovegood
371,Euan Abercrombie,Gryffindor,Human,,,,,Euan,Abercrombie
372,Rose Zeller,Hufflepuff,Human,,,,,Rose,Zeller
373,Patricia Stimpson,,Human,,,,,Patricia,Stimpson
374,Kenneth Towler,Gryffindor,Human,,,,,Kenneth,Towler
375,Inigo Imago,,Human,,,,,Inigo,Imago
376,Lachlan the Lanky,,Human,,,,,Lachlan,the Lanky
377,Vicky Frobisher,Gryffindor,Human,,,,,Vicky,Frobisher
378,Geoffrey Hooper,Gryffindor,Human,,,,,Geoffrey,Hooper
379,Wilfred the Wistful,,Human,,,,,Wilfred,the Wistful
380,Mrs Chang,Ravenclaw,Human,,,,,Mrs,Chang
381,Donaghan Tremlett,,Human,Muggle-born,,,,Donaghan,Tremlett
382,Griselda Marchbanks,,Human,,,,,Griselda,Marchbanks
383,Tiberius Ogden,,Human,,,,,Tiberius,Ogden
384,Cassandra Trelawney,,Human,,,,,Cassandra,Trelawney
385,Marietta Edgecombe,Ravenclaw,Human,Pure-blood,Dumbledore's Army,,,Marietta,Edgecombe
386,Michael Corner,Ravenclaw,Human,Half-blood,Dumbledore's Army,,,Michael,Corner
387,Zacharias Smith,Hufflepuff,Human,Pure-blood,Dumbledore's Army,,,Zacharias,Smith
388,Mr Edgecombe,,Human,,,,,Mr,Edgecombe
389,Madam Edgecombe,,Human,,,,,Madam,Edgecombe
390,Mr Chang,,Human,Half-blood,,,,Mr,Chang
391,Ladislaw Zamojski,,Human,,,,,Ladislaw,Zamojski
392,Karkus,,Giant,,,,,Karkus,
393,Karkus' wife,,Giant,,,,,Karkus',wife
