sentence,ents_old,ents,entity
"“I think we should run through the schedule one 
more time,” said Uncle Vernon.",['Uncle Vernon'],['Vernon'],['Vernon Dursley']
"“We should all be in 
position at eight o’clock.",[],[],[]
"Petunia, you will be — ?” 

“In the lounge,” said Aunt Petunia promptly, “waiting 
to welcome them graciously to our home.” 

“Good, good.","['Petunia', 'Aunt Petunia']","['Petunia', 'Petunia']","['Petunia Dursley', 'Petunia Dursley']"
"And Dudley?” 

“I’ll be waiting to open the door.” Dudley put on a 
foul, simpering smile.",['Dudley'],['Dudley'],['Dudley Dursley']
"“May I take your coats, Mr. and 
Mrs. Mason?” 

“They’ll love him!” cried Aunt Petunia rapturously.","['Mr.', 'Mason', 'Aunt Petunia']","['Mr.', 'Mason', 'Petunia']",['Petunia Dursley']
"“Excellent, Dudley,” said Uncle Vernon.","['Dudley', 'Uncle Vernon']","['Dudley', 'Vernon']","['Dudley Dursley', 'Vernon Dursley']"
"Then he 
rounded on Harry.",['Harry'],['Harry'],['Harry Potter']
"“And you?” 

“I’ll be in my bedroom, making no noise and 
pretending I’m not there,” said Harry tonelessly.",['Harry'],['Harry'],['Harry Potter']
"“Exactly,” said Uncle Vernon nastily.",['Uncle Vernon'],['Vernon'],['Vernon Dursley']
"“I will lead them 
into the lounge, introduce you, Petunia, and pour 
them drinks.",['Petunia'],['Petunia'],['Petunia Dursley']
"At eight-fifteen — ” 

“I’ll announce dinner,” said Aunt Petunia.",['Aunt Petunia'],['Petunia'],['Petunia Dursley']
"“And, Dudley, you 11 say — ” 

“May I take you through to the dining room, Mrs. 
Mason?” said Dudley, offering his fat arm to an 
invisible woman.","['Dudley', 'Mason']","['Dudley', 'Mason']",['Dudley Dursley']
“My perfect little gentleman!” sniffed Aunt Petunia.,['Aunt Petunia'],['Petunia'],['Petunia Dursley']
“And you?” said Uncle Vernon viciously to Harry.,"['Uncle Vernon', 'Harry']","['Vernon', 'Harry']","['Vernon Dursley', 'Harry Potter']"
"“I’ll be in my room, making no noise and pretending 
I’m not there,” said Harry dully.",['Harry'],['Harry'],['Harry Potter']
“Precisely.,[],[],[]
"Now, we should aim to get in a few good 
compliments at dinner.",[],[],[]
"Petunia, any ideas?” 



“Vernon tells me you’re a wonderful golfer, Mr. 

Mason.","['Petunia', 'Vernon', 'Mr. Mason']","['Petunia', 'Vernon', 'Mason']","['Petunia Dursley', 'Vernon Dursley']"
"... Do tell me where you bought your dress, 
Mrs. Mason.",['Mason'],['Mason'],[]
"...” 

“Perfect ... Dudley?” 

“How about — ‘We had to write an essay about our 
hero at school, Mr. Mason, and I wrote about you.’ ” 

This was too much for both Aunt Petunia and Harry.","['Perfect', 'Dudley', 'Mr. Mason', 'Harry']","['Perfect', 'Dudley', 'Mason', 'Harry']","['Dudley Dursley', 'Harry Potter']"
"Aunt Petunia burst into tears and hugged her son, 
while Harry ducked under the table so they wouldn’t 
see him laughing.","['Aunt Petunia', 'Harry']","['Petunia', 'Harry']","['Petunia Dursley', 'Harry Potter']"
"“And you, boy?” 

Harry fought to keep his face straight as he emerged.",['Harry'],['Harry'],['Harry Potter']
"“I’ll be in my room, making no noise and pretending 
I’m not there,” he said.",[],[],[]
"“Too right, you will,” said Uncle Vernon forcefully.","['Too', 'Uncle Vernon']","['Too', 'Vernon']",['Vernon Dursley']
"“The Masons don’t know anything about you and it’s 
going to stay that way.",['Masons'],['Masons'],[]
"When dinner’s over, you take 
Mrs. Mason back to the lounge for coffee, Petunia, 
and I’ll bring the subject around to drills.","['Mason', 'Petunia']","['Mason', 'Petunia']",['Petunia Dursley']
"With any 
luck, I’ll have the deal signed and sealed before the 
news at ten.",[],[],[]
"We’ll be shopping for a vacation home in 
Majorca this time tomorrow.” 

Harry couldn’t feel too excited about this.","['Majorca', 'Harry']","['Majorca', 'Harry']",['Harry Potter']
"He didn’t 
think the Dursleys would like him any better in 
Majorca than they did on Privet Drive.","['Dursleys', 'Majorca', 'Privet Drive']","['Dursleys', 'Majorca', 'Privet Drive']",[]
"“Right — I’m off into town to pick up the dinner 
jackets for Dudley and me.","['Right', 'Dudley']","['Right', 'Dudley']",['Dudley Dursley']
"And you,” he snarled at 





Harry.",['Harry'],['Harry'],['Harry Potter']
"“You stay out of your aunt’s way while she’s 
cleaning.” 

Harry left through the back door.",['Harry'],['Harry'],['Harry Potter']
"It was a brilliant, 
sunny day.",[],[],[]
"He crossed the lawn, slumped down on 
the garden bench, and sang under his breath: 

“Happy birthday to me ... happy birthday to me ...” 

No cards, no presents, and he would be spending the 
evening pretending not to exist.",[],[],[]
"He gazed miserably 
into the hedge.",[],[],[]
He had never felt so lonely.,[],[],[]
"More than 
anything else at Hogwarts, more even than playing 
Quidditch, Harry missed his best friends, Ron 
Weasley and Hermione Granger.","['Hogwarts', 'Quidditch', 'Harry', 'Ron Weasley', 'Hermione Granger']","['Hogwarts', 'Quidditch', 'Harry', 'Ron Weasley', 'Hermione Granger']","['Harry Potter', 'Ron Weasley', 'Hermione Granger']"
"They, however, didn’t 
seem to be missing him at all.",[],[],[]
"Neither of them had 
written to him all summer, even though Ron had said 
he was going to ask Harry to come and stay.","['Ron', 'Harry']","['Ron', 'Harry']","['Ron Weasley', 'Harry Potter']"
"Countless times, Harry had been on the point of 
unlocking Hedwig’s cage by magic and sending her to 
Ron and Hermione with a letter, but it wasn’t worth 
the risk.","['Harry', 'Hedwig', 'Ron', 'Hermione']","['Harry', 'Hedwig', 'Ron', 'Hermione']","['Harry Potter', 'Hedwig', 'Ron Weasley', 'Hermione Granger']"
"Underage wizards weren’t allowed to use 
magic outside of school.",['Underage'],['Underage'],[]
"Harry hadn’t told the 
Dursleys this; he knew it was only their terror that he 
might turn them all into dung beetles that stopped 
them from locking him in the cupboard under the 
stairs with his wand and broomstick.",['Harry'],['Harry'],['Harry Potter']
"For the first 
couple of weeks back, Harry had enjoyed muttering 
nonsense words under his breath and watching 
Dudley tearing out of the room as fast as his fat legs 
would carry him.","['Harry', 'Dudley']","['Harry', 'Dudley']","['Harry Potter', 'Dudley Dursley']"
"But the long silence from Ron and 
Hermione had made Harry feel so cut off from the 
magical world that even taunting Dudley had lost its 
appeal — and now Ron and Hermione had forgotten 
his birthday.","['Ron', 'Hermione', 'Harry', 'Dudley', 'Ron Hermione']","['Ron', 'Hermione', 'Harry', 'Dudley', 'Ron Hermione']","['Ron Weasley', 'Hermione Granger', 'Harry Potter', 'Dudley Dursley']"
"What wouldn’t he give now for a message from 
Hogwarts?",['Hogwarts'],['Hogwarts'],[]
From any witch or wizard?,[],[],[]
"He’d almost be 





glad of a sight of his archenemy, Draco Malfoy, just to 
be sure it hadn’t all been a dream.",['Draco Malfoy'],['Draco Malfoy'],['Draco Malfoy']
"... 

Not that his whole year at Hogwarts had been fun.",['Hogwarts'],['Hogwarts'],[]
"At 
the very end of last term, Harry had come face-to-face 
with none other than Lord Voldemort himself.","['Harry', 'Lord Voldemort']","['Harry', 'Lord Voldemort']","['Harry Potter', 'Lord Voldemort']"
"Voldemort might be a ruin of his former self, but he 
was still terrifying, still cunning, still determined to 
regain power.",['Voldemort'],['Voldemort'],['Lord Voldemort']
"Harry had slipped through Voldemort’s 
clutches for a second time, but it had been a narrow 
escape, and even now, weeks later, Harry kept waking 
in the night, drenched in cold sweat, wondering where 
Voldemort was now, remembering his livid face, his 
wide, mad eyes — 

Harry suddenly sat bolt upright on the garden bench.","['Harry', 'Voldemort', 'Harry Voldemort']","['Harry', 'Voldemort', 'Harry Voldemort']","['Harry Potter', 'Lord Voldemort']"
"He had been staring absent-mindedly into the hedge 
— and the hedge was staring back.",[],[],[]
"Two enormous 
green eyes had appeared among the leaves.",[],[],[]
"Harry jumped to his feet just as a jeering voice floated 
across the lawn.",['Harry'],['Harry'],['Harry Potter']
"“I know what day it is,” sang Dudley, waddling toward 
him.",['Dudley'],['Dudley'],['Dudley Dursley']
The huge eyes blinked and vanished.,[],[],[]
"“What?” said Harry, not taking his eyes off the spot 
where they had been.",['Harry'],['Harry'],['Harry Potter']
"“I know what day it is,” Dudley repeated, coming right 
up to him.",['Dudley'],['Dudley'],['Dudley Dursley']
"“Well done,” said Harry.",['Harry'],['Harry'],['Harry Potter']
"“So you’ve finally learned the 
days of the week.” 







“Today’s your birthday,” sneered Dudley.",['Dudley'],['Dudley'],['Dudley Dursley']
"“How come 
you haven’t got any cards?",[],[],[]
"Haven’t you even got 
friends at that freak place?” 

“Better not let your mum hear you talking about my 
school,” said Harry coolly.","['Haven', 'Harry']","['Haven', 'Harry']",['Harry Potter']
"Dudley hitched up his trousers, which were slipping 
down his fat bottom.",['Dudley'],['Dudley'],['Dudley Dursley']
"“Why’re you staring at the hedge?” he said 
suspiciously.",[],[],[]
"“I’m trying to decide what would be the best spell to 
set it on fire,” said Harry.",['Harry'],['Harry'],['Harry Potter']
"Dudley stumbled backward at once, a look of panic 
on his fat face.",['Dudley'],['Dudley'],['Dudley Dursley']
"“You c-can’t — Dad told you you’re not to do m-magic 
— he said hell chuck you out of the house — and you 
haven’t got anywhere else to go — you haven’t got any 
friends to take you — ” 

“ Jiggery pokeryV ’ said Harry in a fierce voice.","['Dad', 'Harry']","['Dad', 'Harry']",['Harry Potter']
"“Hocus 
pocus — squiggly wiggly — ” 

“MUUUUUUM!” howled Dudley, tripping over his feet 
as he dashed back toward the house.",['Dudley'],['Dudley'],['Dudley Dursley']
“MUUUUM!,['MUUUUM'],['MUUUUM'],[]
"He’s doing you know what!” 

Harry paid dearly for his moment of fun.",['Harry'],['Harry'],['Harry Potter']
"As neither 
Dudley nor the hedge was in any way hurt, Aunt 
Petunia knew he hadn’t really done magic, but he still 
had to duck as she aimed a heavy blow at his head 
with the soapy frying pan.",['Aunt Petunia'],['Petunia'],['Petunia Dursley']
"Then she gave him work to 
do, with the promise he wouldn’t eat again until he’d 
finished.",[],[],[]
"While Dudley lolled around watching and eating ice 
cream, Harry cleaned the windows, washed the car, 
mowed the lawn, trimmed the flowerbeds, pruned and 
watered the roses, and repainted the garden bench.","['Dudley', 'Harry']","['Dudley', 'Harry']","['Dudley Dursley', 'Harry Potter']"
"The sun blazed overhead, burning the back of his 
neck.",[],[],[]
"Harry knew he shouldn’t have risen to Dudley’s 
bait, but Dudley had said the very thing Harry had 
been thinking himself ... maybe he didn’t have any 
friends at Hogwarts.","['Harry', 'Dudley', 'Dudley Harry', 'Hogwarts']","['Harry', 'Dudley', 'Dudley Harry', 'Hogwarts']","['Harry Potter', 'Dudley Dursley']"
...,[],[],[]
"Wish they could see famous Harry Potter now, he 
thought savagely as he spread manure on the flower 
beds, his back aching, sweat running down his face.",['Harry Potter'],['Harry Potter'],['Harry Potter']
"It was half past seven in the evening when at last, 
exhausted, he heard Aunt Petunia calling him.",['Aunt Petunia'],['Petunia'],['Petunia Dursley']
“Get in here!,[],[],[]
"And walk on the newspaper!” 

Harry moved gladly into the shade of the gleaming 
kitchen.",['Harry'],['Harry'],['Harry Potter']
"On top of the fridge stood tonight’s pudding: 
a huge mound of whipped cream and sugared violets.",[],[],[]
A loin of roast pork was sizzling in the oven.,[],[],[]
“Eat quickly!,[],[],[]
"The Masons will be here soon!” snapped 
Aunt Petunia, pointing to two slices of bread and a 
lump of cheese on the kitchen table.","['Masons', 'Aunt Petunia']","['Masons', 'Petunia']",['Petunia Dursley']
"She was already 
wearing a salmon-pink cocktail dress.",[],[],[]
"Harry washed his hands and bolted down his pitiful 
supper.",['Harry'],['Harry'],['Harry Potter']
"The moment he had finished, Aunt Petunia 
whisked away his plate.",['Aunt Petunia'],['Petunia'],['Petunia Dursley']
“Upstairs!,[],[],[]
"Hurry!” 

As he passed the door to the living room, Harry 
caught a glimpse of Uncle Vernon and Dudley in bow 
ties and dinner jackets.","['Hurry', 'Harry', 'Uncle Vernon', 'Dudley']","['Hurry', 'Harry', 'Vernon', 'Dudley']","['Harry Potter', 'Vernon Dursley', 'Dudley Dursley']"
"He had only just reached the 
upstairs landing when the doorbell rang and Uncle 
Vernon’s furious face appeared at the foot of the 
stairs.",['Uncle Vernon'],['Vernon'],['Vernon Dursley']
"“Remember, boy — one sound — ” 

Harry crossed to his bedroom on tiptoe, slipped 
inside, closed the door, and turned to collapse on his 
bed.",['Harry'],['Harry'],['Harry Potter']
"The trouble was, there was already someone sitting 
on it.",[],[],[]
"DOBBY’S WARNING 

Harry managed not to shout out, but it was a close 
thing.","['DOBBY', 'Harry']","['DOBBY', 'Harry']",['Harry Potter']
"The little creature on the bed had large, bat- 
like ears and bulging green eyes the size of tennis 
balls.",[],[],[]
"Harry knew instantly that this was what had 
been watching him out of the garden hedge that 
morning.",['Harry'],['Harry'],['Harry Potter']
"As they stared at each other, Harry heard Dudley’s 
voice from the hall.","['Harry', 'Dudley']","['Harry', 'Dudley']","['Harry Potter', 'Dudley Dursley']"
"“May I take your coats, Mr. and Mrs. Mason?” 

The creature slipped off the bed and bowed so low 
that the end of its long, thin nose touched the carpet.","['Mr.', 'Mason']","['Mr.', 'Mason']",[]
"Harry noticed that it was wearing what looked like an 
old pillowcase, with rips for arm- and leg-holes.",['Harry'],['Harry'],['Harry Potter']
"“Er — hello,” said Harry nervously.",['Harry'],['Harry'],['Harry Potter']
"“Harry Potter!” said the creature in a high-pitched 
voice Harry was sure would carry down the stairs.","['Harry Potter', 'Harry']","['Harry Potter', 'Harry']","['Harry Potter', 'Harry Potter']"
"“So 






long has Dobby wanted to meet you, sir ...",['Dobby'],['Dobby'],['Dobby']
"Such an 
honor it is.",[],[],[]
"...” 

“Th-thank you,” said Harry, edging along the wall and 
sinking into his desk chair, next to Hedwig, who was 
asleep in her large cage.","['Harry', 'Hedwig']","['Harry', 'Hedwig']","['Harry Potter', 'Hedwig']"
"He wanted to ask, “What are 
you?” but thought it would sound too rude, so instead 
he said, “Who are you?” 

“Dobby, sir.",[],[],[]
Just Dobby.,['Dobby'],['Dobby'],['Dobby']
"Dobby the house-elf,” said 
the creature.",[],[],[]
“Oh — really?” said Harry.,['Harry'],['Harry'],['Harry Potter']
"“Er — I don’t want to be 
rude or anything, but — this isn’t a great time for me 
to have a house-elf in my bedroom.” 

Aunt Petunia’s high, false laugh sounded from the 
living room.",['Petunia'],['Petunia'],['Petunia Dursley']
The elf hung his head.,[],[],[]
"“Not that I’m not pleased to meet you,” said Harry 
quickly, “but, er, is there any particular reason you’re 
here?” 

“Oh, yes, sir,” said Dobby earnestly.","['Harry', 'Dobby']","['Harry', 'Dobby']","['Harry Potter', 'Dobby']"
"“Dobby has come 
to tell you, sir ... it is difficult, sir ... Dobby wonders 
where to begin.",['Dobby'],['Dobby'],['Dobby']
"...” 

“Sit down,” said Harry politely, pointing at the bed.","['Sit', 'Harry']","['Sit', 'Harry']",['Harry Potter']
"To his horror, the elf burst into tears — very noisy 
tears.",[],[],[]
“S-sit down).” he wailed.,[],[],[]
"“Never ... never ever ...” 

Harry thought he heard the voices downstairs falter.",['Harry'],['Harry'],['Harry Potter']
"“I’m sorry,” he whispered, “I didn’t mean to offend you 
or anything — ” 







“Offend Dobby!” choked the elf.",[],[],[]
"“Dobby has never 
been asked to sit down by a wizard — like an equal — 



Harry, trying to say “Shh!” and look comforting at the 
same time, ushered Dobby back onto the bed where 
he sat hiccoughing, looking like a large and very ugly 
doll.","['Dobby', 'Harry']","['Dobby', 'Harry']","['Dobby', 'Harry Potter']"
"At last he managed to control himself, and sat 
with his great eyes fixed on Harry in an expression of 
watery adoration.",['Harry'],['Harry'],['Harry Potter']
"“You can’t have met many decent wizards,” said 
Harry, trying to cheer him up.",['Harry'],['Harry'],['Harry Potter']
Dobby shook his head.,['Dobby'],['Dobby'],['Dobby']
"Then, without warning, he 
leapt up and started banging his head furiously on 
the window, shouting, “Bad Dobby!",[],[],[]
"Bad Dobby!” 

“Don’t — what are you doing?” Harry hissed, 
springing up and pulling Dobby back onto the bed — 
Hedwig had woken up with a particularly loud 
screech and was beating her wings wildly against the 
bars of her cage.","['Bad Dobby', 'Don', 'Harry', 'Dobby', 'Hedwig']","['Bad Dobby', 'Don', 'Harry', 'Dobby', 'Hedwig']","['Harry Potter', 'Dobby', 'Hedwig']"
"“Dobby had to punish himself, sir,” said the elf, who 
had gone slightly cross-eyed.",['Dobby'],['Dobby'],['Dobby']
"“Dobby almost spoke ill 
of his family, sir.",['Dobby'],['Dobby'],['Dobby']
"...” 

“Your family?” 

“The wizard family Dobby serves, sir.",['Dobby'],['Dobby'],['Dobby']
"... Dobby is a 
house-elf — bound to serve one house and one family 
forever.",['Dobby'],['Dobby'],['Dobby']
"...” 

“Do they know you’re here?” asked Harry curiously.",['Harry'],['Harry'],['Harry Potter']
Dobby shuddered.,['Dobby'],['Dobby'],['Dobby']
"“Oh, no, sir, no ... Dobby will have to punish himself 
most grievously for coming to see you, sir.",['Dobby'],['Dobby'],['Dobby']
"Dobby will 
have to shut his ears in the oven door for this.",['Dobby'],['Dobby'],['Dobby']
"If they 
ever knew, sir — ” 

“But won’t they notice if you shut your ears in the 
oven door?” 

“Dobby doubts it, sir.",['Dobby'],['Dobby'],['Dobby']
"Dobby is always having to 
punish himself for something, sir.",['Dobby'],['Dobby'],['Dobby']
"They lets Dobby get 
on with it, sir.",['Dobby'],['Dobby'],['Dobby']
"Sometimes they reminds me to do 
extra punishments.",[],[],[]
"...” 

“But why don’t you leave?",[],[],[]
"Escape?” 

“A house-elf must be set free, sir.",['Escape'],['Escape'],[]
"And the family will 
never set Dobby free .",['Dobby'],['Dobby'],['Dobby']
.,[],[],[]
.,[],[],[]
"Dobby will serve the family 
until he dies, sir.",['Dobby'],['Dobby'],['Dobby']
"...” 

Harry stared.",['Harry'],['Harry'],['Harry Potter']
"“And I thought I had it bad staying here for another 
four weeks,” he said.",[],[],[]
"“This makes the Dursleys sound 
almost human.",['Dursleys'],['Dursleys'],[]
Can’t anyone help you?,[],[],[]
"Can’t I?” 

Almost at once, Harry wished he hadn’t spoken.",['Harry'],['Harry'],['Harry Potter']
Dobby dissolved again into wails of gratitude.,['Dobby'],['Dobby'],['Dobby']
"“Please,” Harry whispered frantically, “please be quiet.",['Harry'],['Harry'],['Harry Potter']
