sentence,ents_old,ents,entity
"Sirius, at least, seemed to understand how 
Harry was feeling; admittedly his letters were just as 
empty of proper news as Ron and Hermione’s, but at 







least they contained words of caution and consolation 
instead of tantalizing hints: 

“ I know this must be frustrating for you...” “Keep your 
nose clean and everything will be okay...” “Be careful 
and don’t do anything rash...” 

Well, thought Harry, as he crossed Magnolia 
Crescent, turned into Magnolia Road, and headed 
toward the darkening play park, he had (by and large) 
done as Sirius advised; he had at least resisted the 
temptation to tie his trunk to his broomstick and set 
off for the Burrow by himself.","['Sirius', 'Harry', 'Ron', 'Hermione', 'Harry Magnolia Crescent', 'Magnolia Road', 'Sirius Burrow']","['Sirius', 'Harry', 'Ron', 'Hermione', 'Harry Magnolia Crescent', 'Magnolia Road', 'Sirius Burrow']","['Sirius Black', 'Harry Potter', 'Ron Weasley', 'Hermione Granger']"
"In fact Harry thought 
his behavior had been very good considering how 
frustrated and angry he felt at being stuck in Privet 
Drive this long, reduced to hiding in flower beds in 
the hope of hearing something that might point to 
what Lord Voldemort was doing.","['Harry', 'Privet', 'Lord Voldemort']","['Harry', 'Privet', 'Lord Voldemort']","['Harry Potter', 'Lord Voldemort']"
"Nevertheless, it was 
quite galling to be told not to be rash by a man who 
had served twelve years in the wizard prison, 

Azkaban, escaped, attempted to commit the murder 
he had been convicted for in the first place, then gone 
on the run with a stolen hippogriff.",['Azkaban'],['Azkaban'],[]
.,[],[],[]
.,[],[],[]
"Harry vaulted over the locked park gate and set off 
across the parched grass.",['Harry'],['Harry'],['Harry Potter']
"The park was as empty as 
the surrounding streets.",[],[],[]
"When he reached the swings 
he sank onto the only one that Dudley and his friends 
had not yet managed to break, coiled one arm around 
the chain, and stared moodily at the ground.",['Dudley'],['Dudley'],['Dudley Dursley']
"He 
would not be able to hide in the Dursleys’ flower bed 
again.",['Dursleys'],['Dursleys'],[]
"Tomorrow he would have to think of some 
fresh way of listening to the news.",[],[],[]
"In the meantime, 
he had nothing to look forward to but another 
restless, disturbed night, because even when he 
escaped nightmares about Cedric he had unsettling 
dreams about long dark corridors, all finishing in 
dead ends and locked doors, which he supposed had 
something to do with the trapped feeling he had when 




he was awake.",[],[],[]
"Often the old scar on his forehead 
prickled uncomfortably, but he did not fool himself 
that Ron or Hermione or Sirius would find that very 
interesting anymore...","['Ron', 'Sirius']","['Ron', 'Sirius']","['Ron Weasley', 'Sirius Black']"
"In the past his scar hurting 
had warned that Voldemort was getting stronger 
again, but now that Voldemort was back they would 
probably remind him that its regular irritation was 
only to be expected...",['Voldemort'],['Voldemort'],['Lord Voldemort']
"Nothing to worry about ... old 
news ...",['Nothing'],['Nothing'],[]
"The injustice of it all welled up inside him so that he 
wanted to yell with fury.",[],[],[]
"If it hadn’t been for him, 
nobody would even have known Voldemort was back!",['Voldemort'],['Voldemort'],['Lord Voldemort']
"And his reward was to be stuck in Little Whinging for 
four solid weeks, completely cut off from the magical 
world, reduced to squatting among dying begonias so 
that he could hear about water-skiing budgerigars!",['Little'],['Little'],[]
How could Dumbledore have forgotten him so easily?,[],[],[]
"Why had Ron and Hermione got together without 
inviting him along too?","['Ron', 'Hermione']","['Ron', 'Hermione']","['Ron Weasley', 'Hermione Granger']"
"How much longer was he 
supposed to endure Sirius telling him to sit tight and 
be a good boy; or resist the temptation to write to the 
stupid Daily Prophet and point out that Voldemort 
had returned?","['Sirius', 'Daily Prophet', 'Voldemort']","['Sirius', 'Daily Prophet', 'Voldemort']","['Sirius Black', 'Lord Voldemort']"
"These furious thoughts whirled around 
in Harry’s head, and his insides writhed with anger as 
a sultry, velvety night fell around him, the air full of 
the smell of warm, dry grass and the only sound that 
of the low grumble of traffic on the road beyond the 
park railings.",['Harry'],['Harry'],['Harry Potter']
"He did not know how long he had sat on the swing 
before the sound of voices interrupted his musings 
and he looked up.",[],[],[]
"The street-lamps from the 
surrounding roads were casting a misty glow strong 
enough to silhouette a group of people making their 
way across the park.",[],[],[]
"One of them was singing a loud, 
crude song.",[],[],[]
The others were laughing.,[],[],[]
"A soft ticking 
noise came from several expensive racing bikes that 
they were wheeling along.",[],[],[]
Harry knew who those people were.,['Harry'],['Harry'],['Harry Potter']
"The figure in front 
was unmistakably his cousin, Dudley Dursley, 
wending his way home, accompanied by his faithful 
gang.",['Dudley Dursley'],['Dudley Dursley'],['Dudley Dursley']
"Dudley was as vast as ever, but a year’s hard dieting 
and the discovery of a new talent had wrought quite a 
change in his physique.",['Dudley'],['Dudley'],['Dudley Dursley']
"As Uncle Vernon delightedly 
told anyone who would listen, Dudley had recently 
become the Junior Heavyweight Inter-School Boxing 
Champion of the Southeast.","['Uncle Vernon', 'Dudley', 'Junior', 'Southeast']","['Vernon', 'Dudley', 'Junior', 'Southeast']","['Vernon Dursley', 'Dudley Dursley']"
"“The noble sport,” as 
Uncle Vernon called it, had made Dudley even more 
formidable than he had seemed to Harry in the 
primary school days when he had served as Dudley’s 
first punching bag.","['Uncle Vernon', 'Dudley', 'Harry']","['Vernon', 'Dudley', 'Harry']","['Vernon Dursley', 'Dudley Dursley', 'Harry Potter']"
"Harry was not remotely afraid of 
his cousin anymore but he still didn’t think that 
Dudley learning to punch harder and more accurately 
was cause for celebration.","['Harry', 'Dudley']","['Harry', 'Dudley']","['Harry Potter', 'Dudley Dursley']"
"Neighborhood children all 
around were terrified of him — even more terrified 
than they were of “that Potter boy,” who, they had 
been warned, was a hardened hooligan who attended 
St. Brutus’s Secure Center for Incurably Criminal 
Boys.","['Neighborhood', 'Potter', 'St. Brutus', 'Secure Center', 'Incurably Criminal Boys']","['Neighborhood', 'Potter', 'St. Brutus', 'Secure Center', 'Incurably Criminal Boys']",['Harry Potter']
"Harry watched the dark figures crossing the grass 
and wondered whom they had been beating up 
tonight.",['Harry'],['Harry'],['Harry Potter']
"Look round, Harry found himself thinking as 
he watched them.","['Look', 'Harry']","['Look', 'Harry']",['Harry Potter']
"Come on ... look round ... I’m sitting 
here all alone... Come and have ago...",[],[],[]
"If Dudley’s friends saw him sitting here, they would 
be sure to make a beeline for him, and what would 
Dudley do then?",['Dudley'],['Dudley'],['Dudley Dursley']
"He wouldn’t want to lose face in 
front of the gang, but he’d be terrified of provoking 
Harry.",['Harry'],['Harry'],['Harry Potter']
.,[],[],[]
.,[],[],[]
"It would be really fun to watch Dudley’s 
dilemma; to taunt him, watch him, with him 
powerless to respond .",['Dudley'],['Dudley'],['Dudley Dursley']
.,[],[],[]
.,[],[],[]
"and if any of the others tried 
hitting Harry, Harry was ready — he had his wand .",['Harry'],['Harry'],['Harry Potter']
.,[],[],[]
.,[],[],[]
"let them try ... He’d love to vent some of his 




frustration on the boys who had once made his life 
hell — 



But they did not turn around, they did not see him, 
they were almost at the railings.",[],[],[]
"Harry mastered the 
impulse to call after them... Seeking a fight was not a 
smart move...",['Harry'],['Harry'],['Harry Potter']
He must not use magic...,[],[],[]
"He would be 
risking expulsion again... 

Dudley’s gang’s voices died; they were out of sight, 
heading along Magnolia Road.","['Dudley', 'Magnolia Road']","['Dudley', 'Magnolia Road']",['Dudley Dursley']
"There you go, Sirius, Harry thought dully.","['Sirius', 'Harry']","['Sirius', 'Harry']","['Sirius Black', 'Harry Potter']"
"Nothing 
rash.",['Nothing'],['Nothing'],[]
Kept my nose clean.,[],[],[]
"Exactly the opposite of what 
you’d have done ...",[],[],[]
He got to his feet and stretched.,[],[],[]
"Aunt Petunia and 
Uncle Vernon seemed to feel that whenever Dudley 
turned up was the right time to be home, and anytime 
after that was much too late.","['Aunt Petunia', 'Uncle Vernon', 'Dudley']","['Petunia', 'Vernon', 'Dudley']","['Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley']"
"Uncle Vernon had 
threatened to lock Harry in the shed if he came home 
after Dudley again, so, stifling a yawn, still scowling, 
Harry set off toward the park gate.","['Uncle Vernon', 'Harry', 'Dudley']","['Vernon', 'Harry', 'Dudley']","['Vernon Dursley', 'Harry Potter', 'Dudley Dursley']"
"Magnolia Road, like Privet Drive, was full of large, 
square houses with perfectly manicured lawns, all 
owned by large, square owners who drove very clean 
cars similar to Uncle Vernon’s.","['Magnolia Road', 'Privet Drive', 'Uncle Vernon']","['Magnolia Road', 'Privet Drive', 'Vernon']",['Vernon Dursley']
"Harry preferred Little 
Whinging by night, when the curtained windows 
made patches of jewel-bright colors in the darkness 
and he ran no danger of hearing disapproving 
mutters about his “delinquent” appearance when he 
passed the householders.","['Harry', 'Little Whinging']","['Harry', 'Little Whinging']",['Harry Potter']
"He walked quickly, so that 
halfway along Magnolia Road Dudley’s gang came into 
view again; they were saying their farewells at the 
entrance to Magnolia Crescent.","['Magnolia Road Dudley', 'Magnolia Crescent']","['Magnolia Road Dudley', 'Magnolia Crescent']",[]
"Harry stepped into 
the shadow of a large lilac tree and waited.",['Harry'],['Harry'],['Harry Potter']
"""... squealed like a pig, didn’t he?” Malcolm was 
saying, to guffaws from the others.",['Malcolm'],['Malcolm'],['Malcolm']
"“Nice right hook, Big D,” said Piers.","['Big D', 'Piers']","['Big D', 'Piers']",['Piers Polkiss']
“Same time tomorrow?” said Dudley.,['Dudley'],['Dudley'],['Dudley Dursley']
"“Round at my place, my parents are out,” said 
Gordon.",['Gordon'],['Gordon'],['Gordon']
"“See you then,” said Dudley.",['Dudley'],['Dudley'],['Dudley Dursley']
"“Bye Dud!” 

“See ya, Big D!” 

Harry waited for the rest of the gang to move on 
before setting off again.","['Big D', 'Harry']","['Big D', 'Harry']",['Harry Potter']
"When their voices had faded 
once more he headed around the corner into Magnolia 
Crescent and by walking very quickly he soon came 
within hailing distance of Dudley, who was strolling 
along at his ease, humming tunelessly.","['Magnolia Crescent', 'Dudley']","['Magnolia Crescent', 'Dudley']",['Dudley Dursley']
"“Hey, Big D!” 

Dudley turned.","['Big D', 'Dudley']","['Big D', 'Dudley']",['Dudley Dursley']
"“Oh,” he grunted.",[],[],[]
"“It’s you.” 

“How long have you been ‘Big D’ then?” said Harry.",['Harry'],['Harry'],['Harry Potter']
"“Shut it,” snarled Dudley, turning away again.",['Dudley'],['Dudley'],['Dudley Dursley']
"“Cool name,” said Harry, grinning and falling into 
step beside his cousin.",['Harry'],['Harry'],['Harry Potter']
"“But you’ll always be Ickle 
Diddykins to me.” 

“I said, SHUT IT!” said Dudley, whose ham-like hands 
had curled into fists.","['Ickle Diddykins', 'SHUT', 'Dudley']","['Ickle Diddykins', 'SHUT', 'Dudley']",['Dudley Dursley']
"“Don’t the boys know that’s what your mum calls 
you?” 

“Shut your face.” 

“You don’t tell her to shut her face.",['Don'],['Don'],[]
"What about 
‘popkin’ and ‘Dinky Diddydums,’ can I use them 
then?” 

Dudley said nothing.",['Dudley'],['Dudley'],['Dudley Dursley']
